time,jd,wd,status
18-20,114.138268,22.610201,1
18-20,114.136635,22.623432,0
18-21,114.008904,22.658783,1
18-21,114.020149,22.634933,0
18-21,114.020348,22.635366,1
18-21,114.019783,22.654066,0
18-21,114.035133,22.645849,1
18-21,114.026466,22.653633,0
18-22,114.077332,22.645866,1
18-22,114.068115,22.630333,0
18-23,114.112984,22.602449,1
18-23,114.102852,22.593050,0
18-23,114.112930,22.604683,1
18-23,114.116615,22.647783,0
18-23,114.119064,22.612284,1
18-23,114.119484,22.611032,0
18-23,114.111969,22.602682,1
18-23,114.126236,22.611217,0
18-23,114.122566,22.613234,1
19-0,114.128937,22.591766,0
19-0,114.128799,22.592300,1
19-0,114.134880,22.603634,0
19-0,114.135551,22.612551,1
19-0,114.157616,22.613199,0
19-0,114.158531,22.611366,1
19-0,114.111084,22.600634,0
19-0,114.108620,22.601749,1
19-0,114.109215,22.609016,0
19-1,114.118134,22.612967,1
19-1,114.110168,22.603216,0
19-1,114.119232,22.611982,1
19-1,114.109703,22.601400,0
19-1,114.112480,22.607750,1
19-1,114.125748,22.606050,0
19-2,114.113800,22.616966,1
19-2,114.108597,22.617666,0
19-2,114.117821,22.610018,1
19-2,114.108635,22.606268,0
19-2,114.109367,22.606417,1
19-2,114.108818,22.604151,0
19-2,114.109947,22.603500,1
19-2,114.119698,22.594250,0
19-7,114.021629,22.667999,1
19-7,114.046387,22.669184,0
19-8,114.074814,22.629717,1
19-8,114.061699,22.629049,0
19-8,114.009117,22.658466,1
19-8,114.010498,22.657551,0
19-8,114.011986,22.655416,1
19-8,114.026253,22.647249,0
19-9,114.028549,22.658033,1
19-9,114.027313,22.652750,0
19-10,114.021614,22.664232,1
19-10,114.012283,22.662600,0
19-12,114.121681,22.609467,1
19-12,114.130234,22.600100,0
19-12,114.132614,22.598551,1
19-13,114.115814,22.596434,0
19-13,114.112183,22.597151,1
19-13,114.106354,22.592800,0
19-13,114.110313,22.602182,1
19-13,114.119553,22.610867,0
19-13,114.119881,22.611082,1
19-13,114.128334,22.608667,0
19-13,114.120964,22.598066,1
19-13,114.113052,22.604750,0
19-14,114.101585,22.611168,1
19-14,114.120865,22.597967,0
19-14,114.119034,22.603317,1
19-14,114.120865,22.610451,0
19-14,114.121620,22.612400,1
