time,jd,wd,status
18-0-5,113.813385,22.734667,1
18-4-55,113.805321,22.735250,0
18-9-20,113.836067,22.727200,1
18-9-40,113.794182,22.715082,0
18-11-40,113.893417,22.577749,1
18-12-0,113.897247,22.560284,0
18-12-5,113.887169,22.561382,1
18-12-25,113.886551,22.561216,0
18-12-30,113.888351,22.564899,1
18-12-45,113.896233,22.565599,0
18-16-25,113.823936,22.674868,1
18-17-5,113.817802,22.672899,0
19-7-43,113.809433,22.663233,1
19-8-3,113.830551,22.715467,0
19-9-38,113.882019,22.574167,1
19-9-46,113.882065,22.574217,0
19-10-6,113.882065,22.574217,1
19-10-16,113.882065,22.574217,0
19-11-16,113.870934,22.575083,1
19-11-46,113.868568,22.585266,0
19-15-16,113.844765,22.765568,1
19-15-41,113.838066,22.732233,0
19-16-21,113.855499,22.730417,1
19-17-1,113.907516,22.723267,0
19-19-7,113.808319,22.735617,1
19-20-47,113.795715,22.734333,0
19-20-52,113.802048,22.735283,1
19-21-27,113.801903,22.735233,0
19-22-17,113.842720,22.771868,1
20-0-43,113.846603,22.768133,0
20-0-53,113.839516,22.736217,1
20-2-33,113.849297,22.792133,0
20-3-58,113.846252,22.767982,1
20-4-58,113.820732,22.753000,0
20-5-3,113.817299,22.728132,1
20-5-43,113.824348,22.651951,0
20-8-48,113.805382,22.735350,1
20-9-18,113.843117,22.719767,0
20-10-18,113.831215,22.731882,1
20-10-28,113.846268,22.761168,0
20-12-48,113.802734,22.734882,1
20-13-8,113.807549,22.692017,0
20-14-8,113.825264,22.743334,1
20-14-18,113.832420,22.756001,0
20-14-43,113.838097,22.732233,1
20-15-8,113.802635,22.734600,0
20-16-48,113.830116,22.713350,1
20-17-3,113.831436,22.794367,0
20-21-14,113.902000,22.569017,1
20-21-19,113.892784,22.578568,0
20-21-29,113.894653,22.576366,1
20-21-44,113.885597,22.580366,0
20-22-44,113.826370,22.697332,1
20-22-49,113.827568,22.700083,0
20-23-24,113.825500,22.730867,1
20-23-54,113.837196,22.730249,0
21-8-5,113.796921,22.747383,1
21-9-21,114.247765,22.740883,0
21-15-2,113.788147,22.677532,1
21-15-18,113.809334,22.693033,0
21-15-23,113.807869,22.680567,1
21-15-38,113.823166,22.674168,0
21-17-18,113.797432,22.686132,1
21-17-43,113.826851,22.688517,0
21-17-48,113.824036,22.698467,1
21-18-8,113.780502,22.727551,0
21-19-13,113.834900,22.723499,1
21-21-48,113.838486,22.729717,0
21-22-28,113.807465,22.735550,1
21-23-49,113.822784,22.678267,0
22-0-19,113.854080,22.752199,1
22-0-39,113.842834,22.749468,0
22-7-49,113.842133,22.727949,1
22-7-59,113.837898,22.729782,0
22-8-50,113.823181,22.730200,1
22-8-59,113.801880,22.735666,0
22-9-44,113.818497,22.730700,1
22-9-49,113.812317,22.720200,0
22-9-54,113.824234,22.731083,1
22-10-20,113.837280,22.730467,0
22-11-10,113.814514,22.756433,1
22-11-20,113.806320,22.760183,0
22-12-40,113.805382,22.738182,1
22-12-45,113.805298,22.735300,0
22-13-10,113.819786,22.734501,1
22-13-20,113.860703,22.732918,0
22-13-30,113.846230,22.739367,1
22-14-30,113.837502,22.730766,0
22-15-5,113.837379,22.730618,1
22-15-40,113.793800,22.721268,0
22-15-45,113.795403,22.729134,1
22-16-40,113.877380,22.784283,0
22-16-45,113.883553,22.781651,1
22-18-35,113.840080,22.606951,0
22-23-30,113.836235,22.727800,1
22-23-45,113.854233,22.752850,0
23-0-41,113.827904,22.696234,1
23-0-51,113.839371,22.735701,0
23-9-16,113.801880,22.735634,1
23-10-11,113.801720,22.735750,0
23-12-31,113.801949,22.720118,1
23-13-21,113.812668,22.664883,0
23-13-31,113.820236,22.679216,1
23-13-46,113.818001,22.647818,0
23-13-56,113.822815,22.676683,1
23-14-1,113.825981,22.686733,0
23-14-31,113.832283,22.718149,1
23-14-41,113.823547,22.677282,0
23-15-36,113.836281,22.727783,1
23-16-11,113.821136,22.752533,0
23-16-51,113.839798,22.633650,1
23-17-16,113.820465,22.711582,0
23-22-6,113.818932,22.731068,1
23-22-46,113.805496,22.735382,0
23-23-11,113.818016,22.735283,1
23-23-16,113.807869,22.746483,0
24-0-7,113.835297,22.690783,1
24-0-17,113.835968,22.725582,0
24-0-57,113.823616,22.668133,1
24-1-12,113.880386,22.578501,0
24-1-22,113.877350,22.593950,1
24-1-27,113.867935,22.594049,0
24-1-37,113.850067,22.620150,1
24-1-47,113.902946,22.558300,0
24-1-57,113.844254,22.628950,1
24-2-12,113.834419,22.729450,0
24-11-22,113.823418,22.730200,1
24-11-37,113.847084,22.725433,0
24-12-47,113.825981,22.721567,1
24-13-12,113.828430,22.693083,0
24-13-57,113.865067,22.585850,1
24-14-7,113.871964,22.588066,0
24-14-17,113.844498,22.599100,1
24-14-37,113.889435,22.570801,0
24-14-42,113.880096,22.581882,1
24-14-52,113.877769,22.592117,0
24-15-22,113.822769,22.676683,1
24-15-32,113.836800,22.690018,0
24-15-37,113.835136,22.724182,1
24-15-42,113.837784,22.729834,0
24-16-12,113.836830,22.729168,1
24-16-28,113.837379,22.689632,0
24-20-48,113.802696,22.734632,1
24-20-58,113.818314,22.727034,0
