time,jd,wd,status
18-20,113.919830,22.531651,1
18-20,113.930801,22.520483,0
18-20,113.929581,22.519350,1
18-20,113.907829,22.515066,0
18-20,113.909920,22.525633,1
18-21,113.923851,22.514418,0
18-21,113.923569,22.513884,1
18-21,114.110214,22.550600,0
18-21,114.108833,22.547466,1
18-22,113.936783,22.500017,0
18-22,113.915916,22.543550,1
18-22,113.895851,22.552349,0
19-7,113.895081,22.576050,1
19-8,114.068420,22.523684,0
19-8,114.062820,22.552616,1
19-8,114.077217,22.558083,0
19-8,114.077232,22.558083,1
19-8,114.086433,22.554016,0
19-8,114.086533,22.558132,1
19-8,114.107635,22.569532,0
19-8,114.107666,22.569500,1
19-9,114.130249,22.579483,0
19-9,114.130234,22.579533,1
19-9,114.056580,22.535500,0
19-9,114.054520,22.535500,1
19-9,114.043930,22.534517,0
19-10,114.035484,22.531183,1
19-10,114.053581,22.535101,0
19-10,113.947533,22.543550,1
19-10,113.933647,22.548166,0
19-10,113.938667,22.543100,1
19-11,113.900383,22.572767,0
19-11,113.919617,22.571684,1
19-11,113.933586,22.548317,0
19-11,113.933601,22.549168,1
19-11,113.933632,22.549168,0
19-11,113.937119,22.557367,1
19-11,113.911469,22.544050,0
19-12,113.913216,22.543850,1
19-12,113.916199,22.536182,0
19-12,113.927650,22.536249,1
19-12,113.971230,22.539450,0
19-12,113.927383,22.545834,1
19-12,113.937332,22.563368,0
19-12,113.937836,22.563368,1
19-12,113.945267,22.573982,0
19-12,113.947884,22.576233,1
19-13,113.924568,22.530783,0
19-13,113.921165,22.555183,1
19-13,113.920197,22.530283,0
19-14,113.922203,22.543234,1
19-14,113.925514,22.512199,0
19-14,113.927948,22.513018,1
19-14,113.919281,22.524017,0
19-14,113.923103,22.521116,1
19-14,113.917847,22.497217,0
19-14,113.916847,22.493299,1
19-14,113.943420,22.506451,0
19-15,113.945503,22.506550,1
19-15,113.963753,22.546600,0
19-15,113.964386,22.544434,1
19-15,113.962166,22.570900,0
19-15,113.965981,22.568951,1
19-15,113.966415,22.568768,0
19-15,113.959396,22.560932,1
19-16,113.814697,22.649567,0
19-18,113.899803,22.571432,1
19-18,113.930931,22.520416,0
19-18,113.931099,22.520184,1
19-19,114.141731,22.548134,0
19-19,114.082550,22.537617,1
19-20,113.973602,22.547817,0
19-20,113.971436,22.539783,1
19-20,113.929634,22.545767,0
19-20,113.933197,22.559834,1
19-21,114.165085,22.564432,0
19-21,114.145851,22.557034,1
19-21,114.121368,22.539516,0
19-21,114.121368,22.539516,1
19-21,114.116302,22.539633,0
19-22,114.083801,22.543367,1
19-22,114.030014,22.557167,0
19-22,114.033531,22.553066,1
19-22,114.044670,22.521933,0
19-22,114.042564,22.520666,1
19-22,113.916550,22.527834,0
20-7,113.889816,22.581533,1
20-7,114.062851,22.517584,0
20-7,114.062935,22.517799,1
20-8,114.018234,22.536318,0
20-8,114.025665,22.539249,1
20-8,114.054070,22.607883,0
20-8,114.054550,22.609167,1
20-8,114.054665,22.609650,0
20-8,114.053917,22.625317,1
20-8,114.034668,22.624216,0
20-9,114.028770,22.623568,1
20-9,114.102386,22.558533,0
20-9,114.104065,22.557617,1
20-10,114.008286,22.548700,0
20-10,113.967720,22.540817,1
20-10,113.918518,22.553633,0
20-10,113.920601,22.555218,1
