time,jd,wd,status
19-0,114.115753,22.544416,1
19-0,114.115799,22.544283,0
19-0,114.119484,22.552267,1
19-0,114.119720,22.552183,0
19-0,114.122398,22.550850,1
19-0,114.117516,22.536850,0
19-0,114.113686,22.542299,1
19-0,114.172981,22.605301,0
19-0,114.148735,22.608833,1
19-1,114.029503,22.530718,0
19-1,114.076981,22.535933,1
19-1,114.125099,22.568600,0
19-2,114.120697,22.579149,1
19-2,114.122002,22.565233,0
19-2,114.113930,22.587999,1
19-2,114.119102,22.592882,0
19-2,114.119286,22.590834,1
19-2,114.081451,22.553167,0
19-2,114.081436,22.551950,1
19-2,114.132004,22.550400,0
19-3,114.122253,22.570618,1
19-3,114.013397,22.545000,0
19-3,114.036919,22.548717,1
19-4,114.097832,22.561632,0
19-7,114.115036,22.589018,1
19-7,114.112732,22.547300,0
19-7,114.111603,22.547983,1
19-8,114.116264,22.560516,0
19-8,114.117447,22.559584,1
19-8,114.108681,22.541567,0
19-8,114.108521,22.541582,1
19-8,114.009834,22.534834,0
19-8,114.020035,22.531700,1
19-8,114.056480,22.531282,0
19-8,114.056717,22.531267,1
19-9,114.114967,22.580650,0
19-9,114.114799,22.586166,1
19-9,114.112251,22.603701,0
19-9,114.111786,22.602917,1
19-9,114.090134,22.551800,0
19-9,114.088097,22.554449,1
19-9,114.079948,22.573050,0
19-10,114.082451,22.573618,1
19-10,114.095200,22.542633,0
19-10,114.095200,22.542933,1
19-10,114.111168,22.547832,0
19-10,114.112701,22.545918,1
19-10,114.183884,22.557400,0
19-11,114.167717,22.563101,1
19-12,114.105118,22.545918,0
19-12,114.105080,22.545950,1
19-12,113.930763,22.521749,0
19-12,113.947929,22.541866,1
19-13,113.864586,22.581617,0
19-13,113.919014,22.528851,1
19-13,113.905365,22.518717,0
19-14,113.907898,22.514999,1
19-14,113.939949,22.560284,0
19-14,113.937668,22.557333,1
19-14,113.933929,22.550716,0
19-14,113.933853,22.550734,1
19-14,113.933784,22.545532,0
19-14,113.951050,22.541950,1
19-15,113.865334,22.587717,0
19-15,113.863182,22.584667,1
19-16,114.081848,22.539818,0
19-16,114.089035,22.543150,1
19-16,114.106201,22.553249,0
19-16,114.116585,22.548367,1
19-17,114.122368,22.548250,0
19-17,114.116951,22.547832,1
19-17,114.131767,22.550449,0
19-17,114.116684,22.548067,1
19-17,114.145653,22.608334,0
19-18,114.121902,22.608032,1
19-18,114.108864,22.604218,0
19-18,114.111702,22.601950,1
19-18,114.114037,22.531633,0
19-19,114.113998,22.536983,1
18-19,113.929733,22.500750,0
18-20,113.981667,22.536100,1
18-20,114.084167,22.546249,0
18-20,114.084000,22.548717,1
18-21,114.065086,22.557867,0
18-21,114.080414,22.557734,1
18-21,114.086548,22.539650,0
18-21,114.086548,22.539650,1
18-21,114.077232,22.536083,0
18-21,114.077415,22.536783,1
18-21,114.079964,22.573717,0
18-21,114.094330,22.570133,1
18-22,114.108284,22.584049,0
18-22,114.103951,22.581232,1
18-22,114.107849,22.572483,0
18-22,114.117401,22.548100,1
18-23,114.121185,22.566967,0
18-23,114.116714,22.548782,1
18-23,114.167885,22.566784,0
18-23,114.170753,22.563168,1
18-23,114.119682,22.591084,0
18-23,114.115547,22.585583,1
18-23,114.116867,22.550917,0
18-23,114.117432,22.548050,1
