time,jd,wd,status
22-18,113.956383,22.572832,1
22-18,113.956383,22.572832,0
22-18,113.960686,22.572233,1
22-19,114.006332,22.634050,0
22-21,114.021652,22.639683,1
22-21,114.006050,22.634167,0
23-7,114.021965,22.640650,1
23-7,114.042351,22.659067,0
23-8,114.028183,22.667482,1
23-8,114.017250,22.669783,0
23-8,114.019531,22.667683,1
23-8,114.028114,22.645617,0
23-9,114.048264,22.628134,1
23-9,114.048264,22.628134,0
23-9,114.060150,22.629667,1
23-9,114.035065,22.622499,0
23-9,114.026482,22.672882,1
23-9,114.026482,22.672882,0
23-10,114.042168,22.659000,1
23-10,114.021568,22.639799,0
23-10,114.019882,22.654016,1
23-11,113.991585,22.693333,0
23-12,114.018600,22.655167,1
23-12,114.031998,22.639000,0
23-12,114.031998,22.639000,1
23-12,114.019363,22.662001,0
23-12,114.020752,22.660250,1
23-13,114.039253,22.613050,0
23-13,114.034851,22.623734,1
23-13,114.017281,22.656317,0
23-13,114.022331,22.642134,1
23-13,114.023666,22.646099,0
23-14,114.029015,22.658382,1
23-14,114.029381,22.658484,0
23-15,114.059502,22.653650,1
23-15,114.065216,22.631550,0
23-16,114.021683,22.651817,1
23-16,114.021797,22.652901,0
23-16,114.026947,22.656816,1
23-16,114.030167,22.659134,0
23-18,114.028152,22.644833,1
23-19,114.006935,22.634068,0
23-19,114.021431,22.639017,1
23-19,114.019135,22.650967,0
23-19,114.017067,22.652782,1
23-19,114.025414,22.632317,0
23-20,114.024948,22.640717,1
23-20,114.031235,22.755833,0
23-21,114.030479,22.755150,1
23-21,114.011681,22.663000,0
23-22,114.012520,22.662132,1
23-22,114.029617,22.665617,0
23-22,114.030151,22.665001,1
23-22,114.023666,22.674351,0
23-22,114.023636,22.673300,1
23-22,114.034615,22.647850,0
23-23,114.025864,22.672050,1
23-23,114.044518,22.689867,0
23-23,114.039917,22.640966,1
23-23,114.031700,22.636467,0
23-23,114.031700,22.636467,1
24-0,114.032784,22.618334,0
24-0,114.035164,22.616417,1
24-0,114.058365,22.625317,0
24-0,114.035820,22.616800,1
24-0,114.033516,22.624884,0
24-0,114.031067,22.623667,1
24-0,114.034836,22.655483,0
24-0,114.019066,22.667334,1
24-1,114.011848,22.662832,0
24-1,114.012497,22.662184,1
24-1,114.033035,22.641684,0
24-2,114.025818,22.640301,1
24-2,114.050835,22.633266,0
24-2,114.050903,22.633350,1
24-2,114.047218,22.634350,0
24-3,114.007935,22.659050,1
24-3,114.024918,22.646084,0
24-6,114.031830,22.636450,1
24-7,114.053932,22.608049,0
24-7,114.045952,22.640368,1
24-7,114.026535,22.672768,0
24-8,114.019798,22.654034,1
24-8,114.049751,22.633266,0
24-8,114.045952,22.641399,1
24-8,114.032204,22.648382,0
24-8,114.033020,22.648117,1
24-9,114.207535,22.687950,0
24-10,114.158501,22.631283,1
24-10,114.154747,22.626499,0
24-10,114.116920,22.621183,1
24-10,114.030502,22.636417,0
24-10,114.025414,22.645918,1
24-10,114.025452,22.660183,0
24-10,114.026199,22.660982,1
24-11,114.028419,22.665783,0
24-11,114.028564,22.660784,1
24-11,114.061317,22.647900,0
24-11,114.057953,22.637716,1
24-11,114.056602,22.627934,0
24-11,114.056084,22.627916,1
24-11,114.062515,22.630016,0
24-11,114.062515,22.630016,1
24-11,114.054367,22.634083,0
24-11,114.054298,22.633600,1
24-12,114.024666,22.659550,0
24-12,114.033783,22.647867,1
24-12,114.040604,22.645416,0
24-13,114.021584,22.639799,1
24-13,114.032784,22.680468,0
24-14,114.029770,22.675283,1
24-14,114.020752,22.672333,0
24-15,114.001518,22.682383,1
24-15,114.001518,22.682383,0
24-15,114.009331,22.674601,1
24-16,114.020264,22.660816,0
24-16,114.020981,22.659967,1
24-16,114.021347,22.659517,0
24-16,114.022835,22.657784,1
24-16,114.039070,22.657232,0
24-16,114.039070,22.657232,1
24-16,114.034599,22.645166,0
24-16,114.037216,22.642017,1
24-17,114.005936,22.634199,0
24-17,114.022530,22.642317,1
24-17,114.040619,22.645468,0
24-17,114.046150,22.647633,1
24-18,114.016266,22.643049,0
24-18,114.023598,22.654284,1
24-18,114.021416,22.639400,0
24-18,114.021416,22.639400,1
24-18,114.053253,22.624451,0
24-18,114.040703,22.619200,1
24-18,114.040970,22.619499,0
24-18,114.034286,22.612932,1
24-19,114.021599,22.639566,0
24-19,114.021469,22.639366,1
24-19,113.970467,22.683767,0
24-19,114.002647,22.655483,1
24-20,114.147270,22.624300,0
24-20,114.150833,22.616800,1
24-20,114.107018,22.601418,0
24-20,114.108536,22.601816,1
24-21,114.112633,22.609484,0
24-21,114.111504,22.614149,1
24-21,114.118530,22.605618,0
24-21,114.077164,22.648033,1
24-22,114.054085,22.662251,0
24-22,114.053818,22.663868,1
24-22,114.108917,22.630716,0
24-22,114.108917,22.630716,1
24-23,114.101051,22.612700,0
24-23,114.101631,22.611200,1
24-23,114.105682,22.592850,0
24-23,114.106247,22.592817,1
24-23,114.110481,22.609367,0
24-23,114.109932,22.610001,1
24-23,114.064201,22.640882,0
