time,jd,wd,status
18-2-24,114.106071,22.544680,0
18-4-27,114.115578,22.544523,1
18-4-39,114.115761,22.544460,0
21-4-45,114.115776,22.545132,1
21-5-2,114.115700,22.544285,0
22-0-58,114.135025,22.565760,1
22-1-1,114.135010,22.565718,0
23-0-59,114.022842,22.555502,1
23-1-0,114.024719,22.555653,0
23-5-29,114.116005,22.544724,1
23-5-34,114.116005,22.544724,0
23-19-24,114.145294,22.555653,1
23-19-24,114.145302,22.555653,0
24-2-2,114.067963,22.529657,1
24-2-4,114.067963,22.529657,0
24-2-55,114.113785,22.539581,1
24-2-57,114.113785,22.539581,0
